"id"	"short_desc"	"missing"	"mean"	"sd"	"pvalue"	"q"	"pheno.df.q[, 7]"
"MP:0004952"	"increased spleen weight"	4	1.526	1.07632824105032	0.048	0.361254901960784	"\"greater than average weight of the organ that functions to filter blood and to store red corpuscles and platelets\"\" [MGI:csmith]\""
"MP:0005018"	"decreased T cell number"	4	2.064	1.35267650742287	0.245	0.432183908045977	"\"fewer than normal T cell numbers\"\" [MGI:cwg]\""
"MP:0011085"	"complete postnatal lethality"	4	5.997	2.22619562189556	0.507	0.516617886178862	"\"premature death anytime between the neonatal period and weaning age of all organisms of a given genotype in a population (Mus: P1 to approximately 3 weeks of age)\"\" [MGI:csmith]\""
"MP:0009289"	"decreased epididymal fat pad weight"	3	0.148	0.385024991713842	0.001	0.0341818181818182	"\"less than average weight of the encapsulated adipose tissue associated with the epididymis\"\" [MGI:csmith]\""
"MP:0011086"	"partial postnatal lethality"	3	10.931	2.86014325155567	0.007	0.146222222222222	"\"the appearance of lower than Mendelian ratios of organisms of a given genotype due to death of some, but not all of the organisms anytime between the neonatal period and weaning age (Mus: P1 to approximately 3 weeks of age)\"\" [MGI:csmith]\""
"MP:0002608"	"increased hematocrit"	3	0.795	0.6506907087076	0.008	0.158315789473684	""
"MP:0002398"	"abnormal bone marrow cell morphology/development"	3	0.597	0.730153493536889	0.016	0.231384615384615	"\"any structural anomaly of the cells found in the bone marrow\"\" [MGI:cwg]\""
"MP:0000333"	"decreased bone marrow cell number"	3	0.692	0.793577825903525	0.024	0.265411764705882	""
"MP:0000060"	"delayed bone ossification"	3	0.745	0.796623882148665	0.031	0.2914	"\"late onset of the formation of bone\"\" [PMID:9144284]\""
"MP:0005459"	"decreased percent body fat"	3	0.942	0.927089799046185	0.064	0.401066666666667	"\"less fat, relative to controls, as a percentage of total body weight\"\" [MGI:cwg]\""
"MP:0002113"	"abnormal skeleton development"	3	0.967	0.953320418232936	0.068	0.404059701492537	""
"MP:0002675"	"asthenozoospermia"	3	1.081	0.970247587155145	0.086	0.431146666666667	"\"loss or reduction of the mobility of the spermatozoa, frequently associated with infertility\"\" [ISBN:0-683-40008-8, MGI:pvb]\""
"MP:0010024"	"increased total body fat amount"	3	1.199	0.965573058515683	0.09	0.432183908045977	""
"MP:0002444"	"abnormal T cell physiology"	3	1.156	0.972939160796096	0.092	0.432183908045977	"\"any functional anomaly of lymphocytes that are responsible for cell-mediated immunity and immune system regulation\"\" [MGI:csmith]\""
"MP:0001552"	"increased circulating triglyceride level"	3	1.117	1.00614279469831	0.096	0.432183908045977	""
"MP:0001698"	"decreased embryo size"	3	6.876	2.35120227801696	0.128	0.432183908045977	"\"smaller proportions of an embryo compared to littermates or other controls (sensu Mus: up to E14, or the completion of organogenesis)\"\" [MGI:cwg]\""
"MP:0003984"	"embryonic growth retardation"	3	6.91	2.32708300567799	0.137	0.432183908045977	""
"MP:0000715"	"decreased thymocyte number"	3	1.432	1.03559086923768	0.148	0.432183908045977	""
"MP:0002628"	"hepatic steatosis"	3	1.402	1.09434619458085	0.154	0.432183908045977	"\"an accumulation of fat deposits in the liver\"\" [MGI:pvb]\""
"MP:0008079"	"\"decreased CD8-positive, alpha-beta T cell number\""	3	1.42	1.11123122473895	0.161	0.432183908045977	"\"reduction in the number of the regulatory subset of T lymphocytes that are involved in MHC class I restricted interactions\"\" [MGI:csmith]\""
"MP:0000130"	"abnormal trabecular bone morphology"	3	1.459	1.09064591344235	0.176	0.432183908045977	"\"any structural anomaly of bone that has a lattice-like or spongy structure; it is highly vascular and contains intercommunicating spaces filled with bone marrow\"\" [ISBN:0-683-40008-8, MGI:csmith]\""
"MP:0001405"	"impaired coordination"	3	6.139	2.17633072289471	0.181	0.432183908045977	""
"MP:0005659"	"decreased susceptibility to diet-induced obesity"	3	1.624	1.1532362958015	0.353	0.432183908045977	"\"less likely to become excessively overweight or to increase fat in the subcutaneous connective tissue as a result of consuming a diet geared to increase body fat\"\" [MGI:cwg]\""
"MP:0001800"	"abnormal humoral immune response"	3	1.774	1.22655143733495	0.395	0.432183908045977	"\"any functional anomaly of the aspect of immunity that is mediated by secreted antibodies produced in the cells of the B lymphocyte lineage (B cell) and the accessory processes that accompany it, including Th2 activation and cytokine production, germinal center formation and isotype switching, affinity maturation and memory cell generation; it also refers to the effector functions of antibody, which include pathogen and toxin neutralization, classical complement activation, and opsonin promotion of phagocytosis and pathogen elimination\"\" [ISBN:081533642X, MGI:csmith]\""
"MP:0005559"	"increased circulating glucose level"	3	1.567	1.20289565547389	0.398	0.432183908045977	"\"greater than the normal concentration in the blood of this major monosaccharide of the body; it is an important energy source\"\" [MGI:cwg, RGD:cur]\""
"MP:0000691"	"enlarged spleen"	3	4.295	1.76212374142115	0.596	0.597589333333333	"\"increased spleen size\"\" [MGI:cwg]\""
"MP:0002799"	"abnormal passive avoidance behavior"	2	0.042	0.200689502157627	0	0.0341818181818182	"\"anomaly in the ability of an animal to enter an hostile environment where it receives a unpleasant or punishing stimuli applied previously with prolonged latency\"\" [MGI:CFG]\""
"MP:0003458"	"decreased circulating ketone body level"	2	0.023	0.149978310076802	0	0.0341818181818182	"\"less than the normal amount of acetoacetate, 3-hydroxybutyrate (beta-hydroxybutyrate) and/or acteone in the blood, which are produced by fatty acid and carbohydrate metabolism and seen in conditions such as starvation and diabetes mellitus\"\" [ISBN:0-683-40008-8]\""
"MP:0008050"	"decreased memory T cell number"	2	0.056	0.230036772966665	0	0.0341818181818182	"\"reduction in the number of distinctly differentiated long-lived T cells that have the phenotype CD45RO-positive and CD127-positive\"\" [CL:0000813, GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, ISBN:0781735149]\""
"MP:0008765"	"decreased mast cell degranulation"	2	0.02	0.140070052543788	0	0.0341818181818182	"\"reduction in the exocytosis of secretory granules containing preformed mediators such as histamine, serotonin, and neutral proteases by a mast cell\"\" [GO:0043303, MGI:tmeehan]\""
"MP:0010400"	"increased liver glycogen level"	2	0.033	0.178725887724591	0	0.0341818181818182	"\"greater than the normal concentration of a readily converted carbohydrate reserve in liver\"\" [MGI:csmith]\""
"MP:0010809"	"abnormal Clara cell morphology"	2	0.005	0.0705689732104696	0	0.0341818181818182	"\"any structural anomaly of the rounded, club-shaped, nonciliated cell protruding between ciliated cells in bronchiolar epithelium, believed to be secretory in function\"\" [ISBN:0-683-40008-8]\""
"MP:0011649"	"immotile respiratory cilia"	2	0.046	0.209589904165081	0	0.0341818181818182	"\"failure of the multiple epithelial tiny, motile hair-like projections of the repiratory tract epithelium to beat with a characteristic whip-like pattern in order to promote transport of fluids and other cells across the epithelium of the respiratory tract\"\" [MGI:csmith]\""
"MP:0011683"	"dual inferior vena cava"	2	0.025	0.156203071030628	0	0.0341818181818182	"\"presence of two inferior vena cavae, often resulting from the persistence of both supracardinal veins during development; the two structures may be symmetric or asymmetric but typically join together at the renal vein\"\" [MGI:csmith, PMID:10835118]\""
"MP:0011733"	"fused somites"	2	0.04	0.196057232558349	0	0.0341818181818182	"\"a defect in which there is an appearance of a single enlarged somite resulting from partial or complete fusion of the two somitic anlage\"\" [MGI:smb]\""
"MP:0001533"	"abnormal skeleton physiology"	2	0.107	0.318830131343718	0.003	0.0867692307692308	"\"any functional anomaly of the bony framework of the body\"\" [ISBN:0-683-40008-8]\""
"MP:0008563"	"decreased interferon-alpha secretion"	2	0.115	0.33148889104295	0.004	0.107428571428571	"\"decrease in the production or release of one of the type I interferons produced by peripheral blood leukocytes or lymphoblastoid cells that has antiviral activity and activates natural killer cells and B cells\"\" [MESH:D12.644.276.374.440.890.250]\""
"MP:0011252"	"situs inversus totalis"	2	0.122	0.342393389587523	0.005	0.110588235294118	""
"MP:0002919"	"enhanced paired-pulse facilitation"	2	0.221	0.436290441505827	0.009	0.1692	"\"increase in the response of central synapses when activated twice in rapid succession; indicative of defects in short-term plasticity due to greater increase of neurotransmitter release at the second stimulus\"\" [ISBN:0838580343]\""
"MP:0002423"	"abnormal mast cell physiology"	2	0.209	0.435325749879913	0.012	0.214857142857143	"\"any functional anomaly of the granulated cells found in most tissues and which contain large amounts of histamine and heparin in granules\"\" [MESH:A11.329.427]\""
"MP:0000432"	"abnormal head morphology"	2	0.227	0.453515905649049	0.015	0.231384615384615	"\"any structural anomaly of the portion of the body containing the brain and organs of sight, hearing, taste, and smell\"\" [ISBN:0-683-40008-8]\""
"MP:0005587"	"abnormal Meckel's cartilage morphology"	2	0.201	0.436794905865201	0.015	0.231384615384615	"\"any structural anomaly of this cartilage bar in the mandibular arch that forms a temporary supporting structure in the embryonic mandible; gives rise to middle ear bones and sphenomandibular and anterior malleolar ligaments\"\" [ISBN:0-683-40008-8]\""
"MP:0000066"	"osteoporosis"	2	0.222	0.457083061297315	0.016	0.231384615384615	"\"reduction in bone mass or atrophy of skeletal tissue; may lead to skeletal fragility\"\" [ISBN:0-683-40008-8, MGI:csmith, PMID:10471508]\""
"MP:0003863"	"decreased aggression towards mice"	2	0.252	0.474047171408839	0.018	0.246344827586207	"\"when compared to controls, subjects exhibit less than normal level of domineering, assaultive posture and/or hostile physical action towards other mice\"\" [MGI:monikat]\""
"MP:0003853"	"dry skin"	2	0.231	0.468891094881166	0.019	0.246344827586207	"\"skin characterized by the lack of natural or normal moisture\"\" [MGI:monikat]\""
"MP:0011092"	"complete embryonic lethality"	2	6.608	2.03432408295101	0.019	0.246344827586207	"\"death of all organisms of a given genotype in a population within the embryonic period prior to organogenesis (Mus: prior to E14)\"\" [MGI:csmith]\""
"MP:0006143"	"increased systemic arterial diastolic blood pressure"	2	0.297	0.5069990611905	0.022	0.262060606060606	"\"abnormal increase in the pressure in the arteries between heart beats when the heart is relaxed\"\" [MGI:smb, NCBI:matt]\""
"MP:0000269"	"abnormal heart looping"	2	0.346	0.546427106376123	0.036	0.307636363636364	"\"any anomaly in the characteristic morphogenetic movements where the primitive heart tube loops asymmetrically during early development; this looping brings the primitive heart chambers into alignment preceding their future integration\"\" [GO:0001947]\""
"MP:0005403"	"abnormal nerve conduction"	2	0.319	0.559957634605112	0.036	0.307636363636364	"\"anomaly in the act of transmitting electricity along a single nerve\"\" [ISBN:0-683-40008-8, MGI:cwg]\""
"MP:0000230"	"abnormal systemic arterial blood pressure"	2	0.375	0.555593091825019	0.037	0.309155555555556	""
"MP:0004255"	"abnormal spongiotrophoblast layer morphology"	2	0.393	0.583859479576971	0.045	0.36	"\"any structural anomaly of the middle layer of the placenta between the outermost giant cells and the innermost labyrinth layer; it has a structural role and also produces several layer-specific secreted factors\"\" [ISBN-10:0521851653]\""
"MP:0004158"	"right aortic arch"	2	0.391	0.58004780445706	0.047	0.361254901960784	""
"MP:0000644"	"dextrocardia"	2	0.389	0.596686714310814	0.049	0.361254901960784	""
"MP:0011087"	"complete neonatal lethality"	2	6.581	2.30102884243847	0.051	0.361811320754717	"\"death of all organisms of a given genotype in a population within the neonatal period after birth (Mus: P0)\"\" [MGI:csmith]\""
"MP:0008699"	"increased interleukin-4 secretion"	2	0.448	0.609645526242642	0.052	0.362074074074074	"\"increase in the production or release of a soluble factor produced by activated T-cells that induces the expression of MHC class II genes and FC receptors on B-cells and causes their proliferation and differentiation; it also acts on T-cells, mast cells and several other hematopoietic lineage cells\"\" [MESH:D12.644.276.374.465.504]\""
"MP:0004077"	"abnormal striatum morphology"	2	0.377	0.594326698226004	0.055	0.376	"\"any structural anomaly of a large cluster of dopaminergic nerve cells, consisting of the caudate nucleus and the putamen, that controls movement, balance, and walking\"\" [ISBN:0838580343]\""
"MP:0004799"	"increased susceptibility to experimental autoimmune encephalomyelitis"	2	0.369	0.63658797054629	0.057	0.376	"\"greater likelihood that an organism will develop disease symptoms similar to human multiple sclerosis upon induction with antigens to Myelin Basic Protein (MBP), Proteolipid Protein (PLP), and/or Myelin Oligodendrocyte glycoprotein (MOG)\"\" [MGI:csmith]\""
"MP:0002761"	"abnormal hippocampal mossy fiber morphology"	2	0.437	0.63121266577076	0.066	0.404059701492537	"\"absence or misprojection of axons of neuronal cells in the dentate gyrus\"\" [J:4978, MESH:A08.186.211.464.405.200.500]\""
"MP:0001178"	"pulmonary hypoplasia"	2	0.467	0.631910049224025	0.067	0.404059701492537	"\"underdevelopment or reduced size of the respiratory organ due to reduced cell number in all or part of the organ\"\" [ISBN:0-397-51047-0, MGI:cwg]\""
"MP:0001929"	"abnormal gametogenesis"	2	0.469	0.659904898053102	0.071	0.404059701492537	"\"defective formation or differentiation of germ cells\"\" [ISBN:0-683-40008-8, MGI:csmith]\""
"MP:0000477"	"abnormal intestine morphology"	2	0.475	0.667698150979034	0.08	0.417205479452055	""
"MP:0005621"	"abnormal cell physiology"	2	5.988	2.09194460544065	0.083	0.42172972972973	"\"any functional anomaly of the vital processes of the cell\"\" [ISBN:0-683-40008-8, MGI:hdene]\""
"MP:0006126"	"abnormal outflow tract development"	2	0.544	0.694655703601825	0.091	0.432183908045977	"\"anomaly in the development of the common arterial trunk that forms the aorta and pulmonary artery and the ventricular outflow regions\"\" [MGI:smb]\""
"MP:0002702"	"decreased circulating free fatty acid level"	2	0.55	0.701421408278926	0.095	0.432183908045977	"\"lower than normal levels of the fatty acids which occur in plasma as a result of lipolysis in adipose tissue or when plasma triacylglycerols are taken into tissues\"\" [ISBN:0-683-40008-8]\""
"MP:0003675"	"kidney cysts"	2	0.54	0.703487665062363	0.098	0.432183908045977	""
"MP:0004703"	"abnormal vertebral column morphology"	2	0.576	0.718846813125537	0.108	0.432183908045977	"\"any structural anomaly of the complete structure forming the rostral-caudal axis of the skeleton formed from the alternating segments of vertebra and intervertebral discs which support the spinal cord\"\" [MGI:csmith]\""
"MP:0000005"	"increased brown adipose tissue amount"	2	0.609	0.73393300624625	0.115	0.432183908045977	"\"increased amount of the thermogenic form of adipose tissue that is composed of brown adipocytes\"\" [MESH:A10.165.114.322]\""
"MP:0003383"	"abnormal gluconeogenesis"	2	0.625	0.707725847963656	0.115	0.432183908045977	"\"anomaly in the formation of glucose from non-carbohydrates, such as proteins or fat\"\" [J:93896]\""
"MP:0000116"	"abnormal tooth development"	2	0.603	0.77070421368057	0.116	0.432183908045977	"\"any anomaly in the formation of the teeth\"\" [MGI:cwg]\""
"MP:0003400"	"kinked neural tube"	2	0.616	0.736944426050626	0.116	0.432183908045977	"\"twists or kinks in the embryonic neural tube\"\" [MGI:anna]\""
"MP:0001399"	"hyperactivity"	2	5.214	1.93441100750227	0.118	0.432183908045977	""
"MP:0003408"	"increased width of hypertrophic chondrocyte zone"	2	0.646	0.739750789949718	0.122	0.432183908045977	"\"increased width of cartilage cell matrix layer\"\" [ISBN:0-683-40008-8]\""
"MP:0001762"	"polyuria"	2	0.624	0.753120967170076	0.131	0.432183908045977	"\"increased volume of urine produced and excreted\"\" [MGI:cwg, MGI:smb]\""
"MP:0006410"	"abnormal common myeloid progenitor cell morphology"	2	0.706	0.782416881321062	0.147	0.432183908045977	"\"any structrual anomaly of the hematopoietic stem cells that are capable of forming any of the myeloid lineage cells (erythrocytes, granulocytes, thrombocytes, monocytes, and mast cells) but not cells of the lymphoid lineage\"\" [MGI:smb]\""
"MP:0003921"	"abnormal heart left ventricle morphology"	2	0.734	0.843774825386463	0.154	0.432183908045977	""
"MP:0001106"	"abnormal Schwann cell morphology"	2	0.73	0.789761814551529	0.156	0.432183908045977	"\"any structural anomaly of the cells which form the insulating myelin sheaths of peripheral axons\"\" [MESH:A08.637.800]\""
"MP:0008706"	"decreased interleukin-6 secretion"	2	0.723	0.791768841201709	0.161	0.432183908045977	"\"reduction in the production or release of a cytokine that stimulates the growth and differentiation of B-cells and is also a growth factor for hybridomas and plasmacytomas, and is produced by many different cells including T-cells, monocytes and fibroblasts\"\" [MESH:D12.644.276.374.465.506]\""
"MP:0003070"	"increased vascular permeability"	2	0.905	0.685890257581667	0.164	0.432183908045977	"\"greater or faster ability of the blood vessels to permit the passage of substances such as fluid, heat, or gases\"\" [ISBN:0-683-40008-8]\""
"MP:0009133"	"decreased white fat cell size"	2	0.913	0.730729063993601	0.173	0.432183908045977	"\"reduction in the size of fat cells with light coloration and few mitochondria\"\" [MGI:csmith]\""
"MP:0003068"	"enlarged kidney"	2	0.85	0.784930644143873	0.174	0.432183908045977	"\"larger than average size of the kidney\"\" [MGI:pvb]\""
"MP:0006042"	"increased apoptosis"	2	4.654	1.84545108027541	0.179	0.432183908045977	"\"greater than normal programmed cell death\"\" [MGI:smb, RGD:cur]\""
"MP:0000955"	"abnormal spinal cord morphology"	2	0.79	0.84178893352705	0.182	0.432183908045977	"\"any structural anomaly of the cylindrical tissue of the vertebral canal that extends from the medulla oblongata to the conus medullaris\"\" [MGI:csmith]\""
"MP:0004231"	"abnormal calcium ion homeostasis"	2	0.855	0.771083373941865	0.183	0.432183908045977	"\"anomaly in the processes involved in the maintenance of an internal equilibrium of calcium ions within the body or between a cell and its external environment\"\" [MGI:csmith]\""
"MP:0000416"	"sparse hair"	2	0.831	0.850389417950484	0.192	0.432183908045977	""
"MP:0004875"	"increased mean systemic arterial blood pressure"	2	0.93	0.762680589553505	0.195	0.432183908045977	"\"increase in the average arterial pressure during a single cardiac cycle\"\" [MGI:csmith]\""
"MP:0000166"	"abnormal chondrocyte morphology"	2	0.873	0.873861908218132	0.204	0.432183908045977	"\"any structural anomaly of a polymorphic cell that forms cartilage\"\" [CL:0000138]\""
"MP:0000067"	"osteopetrosis"	2	0.865	0.928243845461222	0.21	0.432183908045977	"\"excessive formation of dense trabecular bone and excessive calcified cartilage formation; may lead to anemia and extramedullary hematopoiesis\"\" [ISBN:0-683-40008-8, MESH:C05.116.099.708.702.678]\""
"MP:0005168"	"abnormal female meiosis"	2	0.956	0.800440319264781	0.22	0.432183908045977	"\"anomaly in the process of nuclear division that results in ova with one half the normal chromosome number of the original cell\"\" [ISBN:0-683-40008-8]\""
"MP:0001688"	"abnormal somite development"	2	0.954	0.920179727406951	0.252	0.432183908045977	"\"any anomaly in the formation of mesodermal clusters that are arranged segmentally along the anterior posterior axis of an embryo; somites are transient structures - balls or blocks of paraxial mesoderm cells with an epithelial outer layer and a mesenchymal cell core - that emerge sequentially through a mesenchymal-to-epithelial transition (MET) from the morphologically unpatterned presomitic mesoderm; they give rise to the metameric anatomy of the vertebral column itself, and the associated skin, muscle and tendons\"\" [GO:0001756, PMID:21164524]\""
"MP:0003795"	"abnormal bone structure"	2	0.993	0.934785978085265	0.272	0.432183908045977	"\"anomaly in the composite material or the layered arrangement of the bony endoskeleton of the body\"\" [MGI:csmith]\""
"MP:0001406"	"abnormal gait"	2	4.441	1.87884247584758	0.279	0.432183908045977	"\"abnormal pattern of movement of the limbs of animals, characterized by elements of progression, stability, speed and length over the ground\"\" [MGI:smb]\""
"MP:0011088"	"partial neonatal lethality"	2	4.126	1.8356180140469	0.295	0.432183908045977	"\"the appearance of lower than Mendelian ratios of organisms of a given genotype due to death of some, but not all of the organisms within the neonatal period after birth (Mus: P0)\"\" [MGI:csmith]\""
"MP:0011100"	"complete preweaning lethality"	2	3.531	1.55803288362809	0.358	0.432183908045977	"\"death of all organisms of a given genotype in a population between fertilization and weaning age (Mus: approximately 3-4 weeks of age)\"\" [MGI:csmith]\""
"MP:0011967"	"increased or absent threshold for auditory brainstem response"	2	3.582	1.59994869787623	0.378	0.432183908045977	"\"increase in the value at which one or more sound frequencies or broadband clicks first elicits a recordable response generated by electrical activity of neurons in the ascending auditory system, or complete lack of a recordable response at any frequency or broadband click\"\" [MGI:csmith]\""
"MP:0000745"	"tremors"	2	3.66	1.69625389528728	0.383	0.432183908045977	"\"repetitive, cyclical movements of the body or a body part; usually involuntary, but can also manifest in response to an attempt at movement\"\" [ISBN:0-683-40008-8, MESH:C10.597.350.850]\""
"MP:0001463"	"abnormal spatial learning"	2	3.537	1.65812556230835	0.392	0.432183908045977	""
"MP:0011096"	"complete embryonic lethality between implantation and somite formation"	2	3.958	1.79929805020554	0.394	0.432183908045977	"\"death of all organisms of a given genotype in a population between the point of implantation and somite formation (Mus: E4.5 to less than E8)\"\" [MGI:csmith]\""
"MP:0002727"	"decreased circulating insulin level"	2	3.766	1.76645531060493	0.396	0.432183908045977	"\"less than normal levels of insulin in the blood\"\" [ISBN:0-683-40008-8, MGI:dlb]\""
"MP:0001147"	"small testis"	2	3.842	1.73032656745194	0.405	0.436332378223496	"\"reduced size of the male reproductive glands\"\" [ISBN:0-683-40008-8]\""
"MP:0001891"	"hydroencephaly"	2	3.057	1.29747232511312	0.487	0.501676712328767	""
"MP:0009763"	"increased sensitivity to induced morbidity/mortality"	2	3.243	1.58885980359359	0.525	0.533513513513514	"\"decrease in the amount of an external agent required to cause death or diseased state\"\" [MGI:smb]\""
"MP:0001730"	"embryonic growth arrest"	2	3.466	1.65092991055634	0.552	0.55943935309973	"\"the cessation of development beyond a particular stage\"\" [J:17509]\""
"MP:0001577"	"anemia"	2	3.478	1.62238964128478	0.554	0.559956989247312	"\"less than normal levels of red blood cells and/or hemoglobin within red blood cells, or volume of packed red blood cells in the bloodstream, resulting in insufficient oxygenation of tissues and organs\"\" [ISBN:0-683-40008-8, PMID:9949198]\""
"MP:0011108"	"partial embryonic lethality during organogenesis"	2	3.352	1.6717927176809	0.561	0.565512064343164	"\"the appearance of lower than Mendelian ratios of organisms of a given genotype due to death of some, but not all of the organisms between embryo turning and the completion of organogenesis (Mus: E9 to less than E14)\"\" [MGI:csmith]\""
"MP:0000063"	"decreased bone mineral density"	2	3.204	1.6281999370578	0.567	0.570032085561497	"\"reduction in the amount of mineral per square centimeter of bone (usually g/cm2), used as a measure of structural strength and screen for osteoporosis; bone mineral density is the ratio of bone mineral content to bone size\"\" [ISBN:0-683-40008-8, MGI:csmith]\""
"MP:0001926"	"female infertility"	1	4.592	1.86467504220253	0.059	0.38248275862069	"\"inability of female to produce live offspring\"\" [ISBN:0-683-40008-8]\""
"MP:0011099"	"complete lethality throughout fetal growth and development"	1	3.573	1.60350935209067	0.132	0.432183908045977	"\"death of all organisms of a given genotype in a population between the completion of organogenesis and birth (Mus: E14 to approximately E18.5)\"\" [MGI:csmith]\""
"MP:0011110"	"partial preweaning lethality"	1	3.6	1.69554559799342	0.145	0.432183908045977	"\"the appearance of lower than Mendelian ratios of organisms of a given genotype due to death of some, but not all of the organisms between fertilization and weaning age (Mus: approximately 3-4 weeks of age)\"\" [MGI:csmith]\""
"MP:0001935"	"decreased litter size"	1	3.643	1.70600746231119	0.148	0.432183908045977	""
"MP:0001297"	"microphthalmia"	1	3.102	1.3912338162694	0.156	0.432183908045977	""
"MP:0001258"	"decreased body length"	1	3.675	1.77214996981506	0.162	0.432183908045977	"\"decreased measure of the head and trunk (head, thorax and abdomen) in the rostral-caudal direction\"\" [MGI:csmith]\""
"MP:0000160"	"kyphosis"	1	3.189	1.45993507061458	0.17	0.432183908045977	""
"MP:0005150"	"cachexia"	1	3.054	1.386003248555	0.172	0.432183908045977	"\"general weight loss and wasting occurring in the course of chronic disease\"\" [ISBN:0-683-40008-8]\""
"MP:0002833"	"increased heart weight"	1	3.242	1.52963256234162	0.188	0.432183908045977	"\"greater than average weight of the heart compared to controls\"\" [RGD:cur]\""
"MP:0001260"	"increased body weight"	1	3.303	1.56960334309489	0.21	0.432183908045977	"\"greater than normal average weight\"\" [J:33400]\""
"MP:0010025"	"decreased total body fat amount"	1	3.264	1.63798259666792	0.23	0.432183908045977	""
"MP:0011090"	"partial perinatal lethality"	1	3.392	1.67784121750276	0.241	0.432183908045977	"\"the appearance of lower than Mendelian ratios of organisms of a given genotype due to death of some, but not all of the organisms within the perinatal period (Mus: E18.5 through postnatal day 1)\"\" [MGI:csmith]\""
"MP:0001722"	"pale yolk sac"	1	2.556	1.2395161961025	0.26	0.432183908045977	"\"bloodless yolk sac\"\" [J:62571]\""
"MP:0000266"	"abnormal heart morphology"	1	2.994	1.49539299189216	0.303	0.432183908045977	""
"MP:0003717"	"pallor"	1	2.826	1.47983577261597	0.309	0.432183908045977	"\"an unnatural paleness to the skin, generally attributable to anemia\"\" [MESH:C23.888.885.500]\""
"MP:0001156"	"abnormal spermatogenesis"	1	2.658	1.44952997110689	0.312	0.432183908045977	"\"incomplete maturation or aberrant formation of the male gametes\"\" [J:58959]\""
"MP:0001954"	"respiratory distress"	1	2.753	1.46086451292552	0.314	0.432183908045977	""
"MP:0002910"	"abnormal excitatory postsynaptic currents"	1	2.509	1.38918999739015	0.317	0.432183908045977	"\"defect in the size or duration of currents detected in postsynaptic cells when an excitatory impulse arrives at the synapse causing depolarization\"\" [ISBN:0838580343]\""
"MP:0001914"	"hemorrhage"	1	2.693	1.52678815887538	0.345	0.432183908045977	""
"MP:0011083"	"complete lethality at weaning"	1	2.33	1.14210525101866	0.388	0.432183908045977	"\"premature death at weaning age of all organisms of a given genotype in a population, often due to the inability to make the transition to solid food\"\" [MGI:csmith]\""
"MP:0000519"	"hydronephrosis"	1	2.21	1.16758865327788	0.4	0.432183908045977	""
