"id"	"short_desc"	"missing"	"mean"	"sd"	"pvalue"	"long_desc"
"MP:0010400"	"increased liver glycogen level"	2	0.033	0.178725887724591	0	"\"greater than the normal concentration of a readily converted carbohydrate reserve in liver\"\" [MGI:csmith]\""
"MP:0010809"	"abnormal Clara cell morphology"	2	0.005	0.0705689732104696	0	"\"any structural anomaly of the rounded, club-shaped, nonciliated cell protruding between ciliated cells in bronchiolar epithelium, believed to be secretory in function\"\" [ISBN:0-683-40008-8]\""
"MP:0011649"	"immotile respiratory cilia"	2	0.046	0.209589904165081	0	"\"failure of the multiple epithelial tiny, motile hair-like projections of the repiratory tract epithelium to beat with a characteristic whip-like pattern in order to promote transport of fluids and other cells across the epithelium of the respiratory tract\"\" [MGI:csmith]\""
"MP:0011683"	"dual inferior vena cava"	2	0.025	0.156203071030628	0	"\"presence of two inferior vena cavae, often resulting from the persistence of both supracardinal veins during development; the two structures may be symmetric or asymmetric but typically join together at the renal vein\"\" [MGI:csmith, PMID:10835118]\""
"MP:0011733"	"fused somites"	2	0.04	0.196057232558349	0	"\"a defect in which there is an appearance of a single enlarged somite resulting from partial or complete fusion of the two somitic anlage\"\" [MGI:smb]\""
"MP:0001533"	"abnormal skeleton physiology"	2	0.107	0.318830131343718	0.003	"\"any functional anomaly of the bony framework of the body\"\" [ISBN:0-683-40008-8]\""
"MP:0008563"	"decreased interferon-alpha secretion"	2	0.115	0.33148889104295	0.004	"\"decrease in the production or release of one of the type I interferons produced by peripheral blood leukocytes or lymphoblastoid cells that has antiviral activity and activates natural killer cells and B cells\"\" [MESH:D12.644.276.374.440.890.250]\""
"MP:0011252"	"situs inversus totalis"	2	0.122	0.342393389587523	0.005	""
"MP:0002919"	"enhanced paired-pulse facilitation"	2	0.221	0.436290441505827	0.009	"\"increase in the response of central synapses when activated twice in rapid succession; indicative of defects in short-term plasticity due to greater increase of neurotransmitter release at the second stimulus\"\" [ISBN:0838580343]\""
"MP:0002423"	"abnormal mast cell physiology"	2	0.209	0.435325749879913	0.012	"\"any functional anomaly of the granulated cells found in most tissues and which contain large amounts of histamine and heparin in granules\"\" [MESH:A11.329.427]\""
"MP:0000432"	"abnormal head morphology"	2	0.227	0.453515905649049	0.015	"\"any structural anomaly of the portion of the body containing the brain and organs of sight, hearing, taste, and smell\"\" [ISBN:0-683-40008-8]\""
"MP:0005587"	"abnormal Meckel's cartilage morphology"	2	0.201	0.436794905865201	0.015	"\"any structural anomaly of this cartilage bar in the mandibular arch that forms a temporary supporting structure in the embryonic mandible; gives rise to middle ear bones and sphenomandibular and anterior malleolar ligaments\"\" [ISBN:0-683-40008-8]\""
"MP:0000066"	"osteoporosis"	2	0.222	0.457083061297315	0.016	"\"reduction in bone mass or atrophy of skeletal tissue; may lead to skeletal fragility\"\" [ISBN:0-683-40008-8, MGI:csmith, PMID:10471508]\""
"MP:0003863"	"decreased aggression towards mice"	2	0.252	0.474047171408839	0.018	"\"when compared to controls, subjects exhibit less than normal level of domineering, assaultive posture and/or hostile physical action towards other mice\"\" [MGI:monikat]\""
"MP:0003853"	"dry skin"	2	0.231	0.468891094881166	0.019	"\"skin characterized by the lack of natural or normal moisture\"\" [MGI:monikat]\""
"MP:0011092"	"complete embryonic lethality"	2	6.608	2.03432408295101	0.019	"\"death of all organisms of a given genotype in a population within the embryonic period prior to organogenesis (Mus: prior to E14)\"\" [MGI:csmith]\""
"MP:0006143"	"increased systemic arterial diastolic blood pressure"	2	0.297	0.5069990611905	0.022	"\"abnormal increase in the pressure in the arteries between heart beats when the heart is relaxed\"\" [MGI:smb, NCBI:matt]\""
"MP:0000269"	"abnormal heart looping"	2	0.346	0.546427106376123	0.036	"\"any anomaly in the characteristic morphogenetic movements where the primitive heart tube loops asymmetrically during early development; this looping brings the primitive heart chambers into alignment preceding their future integration\"\" [GO:0001947]\""
"MP:0005403"	"abnormal nerve conduction"	2	0.319	0.559957634605112	0.036	"\"anomaly in the act of transmitting electricity along a single nerve\"\" [ISBN:0-683-40008-8, MGI:cwg]\""
"MP:0000230"	"abnormal systemic arterial blood pressure"	2	0.375	0.555593091825019	0.037	""
"MP:0004255"	"abnormal spongiotrophoblast layer morphology"	2	0.393	0.583859479576971	0.045	"\"any structural anomaly of the middle layer of the placenta between the outermost giant cells and the innermost labyrinth layer; it has a structural role and also produces several layer-specific secreted factors\"\" [ISBN-10:0521851653]\""
"MP:0004158"	"right aortic arch"	2	0.391	0.58004780445706	0.047	""
"MP:0000644"	"dextrocardia"	2	0.389	0.596686714310814	0.049	""
"MP:0011087"	"complete neonatal lethality"	2	6.581	2.30102884243847	0.051	"\"death of all organisms of a given genotype in a population within the neonatal period after birth (Mus: P0)\"\" [MGI:csmith]\""
"MP:0008699"	"increased interleukin-4 secretion"	2	0.448	0.609645526242642	0.052	"\"increase in the production or release of a soluble factor produced by activated T-cells that induces the expression of MHC class II genes and FC receptors on B-cells and causes their proliferation and differentiation; it also acts on T-cells, mast cells and several other hematopoietic lineage cells\"\" [MESH:D12.644.276.374.465.504]\""
"MP:0004077"	"abnormal striatum morphology"	2	0.377	0.594326698226004	0.055	"\"any structural anomaly of a large cluster of dopaminergic nerve cells, consisting of the caudate nucleus and the putamen, that controls movement, balance, and walking\"\" [ISBN:0838580343]\""
"MP:0004799"	"increased susceptibility to experimental autoimmune encephalomyelitis"	2	0.369	0.63658797054629	0.057	"\"greater likelihood that an organism will develop disease symptoms similar to human multiple sclerosis upon induction with antigens to Myelin Basic Protein (MBP), Proteolipid Protein (PLP), and/or Myelin Oligodendrocyte glycoprotein (MOG)\"\" [MGI:csmith]\""
"MP:0002761"	"abnormal hippocampal mossy fiber morphology"	2	0.437	0.63121266577076	0.066	"\"absence or misprojection of axons of neuronal cells in the dentate gyrus\"\" [J:4978, MESH:A08.186.211.464.405.200.500]\""
"MP:0001178"	"pulmonary hypoplasia"	2	0.467	0.631910049224025	0.067	"\"underdevelopment or reduced size of the respiratory organ due to reduced cell number in all or part of the organ\"\" [ISBN:0-397-51047-0, MGI:cwg]\""
"MP:0001929"	"abnormal gametogenesis"	2	0.469	0.659904898053102	0.071	"\"defective formation or differentiation of germ cells\"\" [ISBN:0-683-40008-8, MGI:csmith]\""
"MP:0000477"	"abnormal intestine morphology"	2	0.475	0.667698150979034	0.08	""
"MP:0005621"	"abnormal cell physiology"	2	5.988	2.09194460544065	0.083	"\"any functional anomaly of the vital processes of the cell\"\" [ISBN:0-683-40008-8, MGI:hdene]\""
"MP:0006126"	"abnormal outflow tract development"	2	0.544	0.694655703601825	0.091	"\"anomaly in the development of the common arterial trunk that forms the aorta and pulmonary artery and the ventricular outflow regions\"\" [MGI:smb]\""
"MP:0002702"	"decreased circulating free fatty acid level"	2	0.55	0.701421408278926	0.095	"\"lower than normal levels of the fatty acids which occur in plasma as a result of lipolysis in adipose tissue or when plasma triacylglycerols are taken into tissues\"\" [ISBN:0-683-40008-8]\""
"MP:0003675"	"kidney cysts"	2	0.54	0.703487665062363	0.098	""
"MP:0004703"	"abnormal vertebral column morphology"	2	0.576	0.718846813125537	0.108	"\"any structural anomaly of the complete structure forming the rostral-caudal axis of the skeleton formed from the alternating segments of vertebra and intervertebral discs which support the spinal cord\"\" [MGI:csmith]\""
"MP:0000005"	"increased brown adipose tissue amount"	2	0.609	0.73393300624625	0.115	"\"increased amount of the thermogenic form of adipose tissue that is composed of brown adipocytes\"\" [MESH:A10.165.114.322]\""
"MP:0003383"	"abnormal gluconeogenesis"	2	0.625	0.707725847963656	0.115	"\"anomaly in the formation of glucose from non-carbohydrates, such as proteins or fat\"\" [J:93896]\""
"MP:0000116"	"abnormal tooth development"	2	0.603	0.77070421368057	0.116	"\"any anomaly in the formation of the teeth\"\" [MGI:cwg]\""
"MP:0003400"	"kinked neural tube"	2	0.616	0.736944426050626	0.116	"\"twists or kinks in the embryonic neural tube\"\" [MGI:anna]\""
"MP:0001399"	"hyperactivity"	2	5.214	1.93441100750227	0.118	""
"MP:0003408"	"increased width of hypertrophic chondrocyte zone"	2	0.646	0.739750789949718	0.122	"\"increased width of cartilage cell matrix layer\"\" [ISBN:0-683-40008-8]\""
"MP:0001762"	"polyuria"	2	0.624	0.753120967170076	0.131	"\"increased volume of urine produced and excreted\"\" [MGI:cwg, MGI:smb]\""
"MP:0006410"	"abnormal common myeloid progenitor cell morphology"	2	0.706	0.782416881321062	0.147	"\"any structrual anomaly of the hematopoietic stem cells that are capable of forming any of the myeloid lineage cells (erythrocytes, granulocytes, thrombocytes, monocytes, and mast cells) but not cells of the lymphoid lineage\"\" [MGI:smb]\""
"MP:0003921"	"abnormal heart left ventricle morphology"	2	0.734	0.843774825386463	0.154	""
"MP:0001106"	"abnormal Schwann cell morphology"	2	0.73	0.789761814551529	0.156	"\"any structural anomaly of the cells which form the insulating myelin sheaths of peripheral axons\"\" [MESH:A08.637.800]\""
"MP:0008706"	"decreased interleukin-6 secretion"	2	0.723	0.791768841201709	0.161	"\"reduction in the production or release of a cytokine that stimulates the growth and differentiation of B-cells and is also a growth factor for hybridomas and plasmacytomas, and is produced by many different cells including T-cells, monocytes and fibroblasts\"\" [MESH:D12.644.276.374.465.506]\""
"MP:0003070"	"increased vascular permeability"	2	0.905	0.685890257581667	0.164	"\"greater or faster ability of the blood vessels to permit the passage of substances such as fluid, heat, or gases\"\" [ISBN:0-683-40008-8]\""
"MP:0009133"	"decreased white fat cell size"	2	0.913	0.730729063993601	0.173	"\"reduction in the size of fat cells with light coloration and few mitochondria\"\" [MGI:csmith]\""
"MP:0003068"	"enlarged kidney"	2	0.85	0.784930644143873	0.174	"\"larger than average size of the kidney\"\" [MGI:pvb]\""
"MP:0006042"	"increased apoptosis"	2	4.654	1.84545108027541	0.179	"\"greater than normal programmed cell death\"\" [MGI:smb, RGD:cur]\""
"MP:0000955"	"abnormal spinal cord morphology"	2	0.79	0.84178893352705	0.182	"\"any structural anomaly of the cylindrical tissue of the vertebral canal that extends from the medulla oblongata to the conus medullaris\"\" [MGI:csmith]\""
"MP:0004231"	"abnormal calcium ion homeostasis"	2	0.855	0.771083373941865	0.183	"\"anomaly in the processes involved in the maintenance of an internal equilibrium of calcium ions within the body or between a cell and its external environment\"\" [MGI:csmith]\""
"MP:0000416"	"sparse hair"	2	0.831	0.850389417950484	0.192	""
"MP:0004875"	"increased mean systemic arterial blood pressure"	2	0.93	0.762680589553505	0.195	"\"increase in the average arterial pressure during a single cardiac cycle\"\" [MGI:csmith]\""
"MP:0000166"	"abnormal chondrocyte morphology"	2	0.873	0.873861908218132	0.204	"\"any structural anomaly of a polymorphic cell that forms cartilage\"\" [CL:0000138]\""
"MP:0000067"	"osteopetrosis"	2	0.865	0.928243845461222	0.21	"\"excessive formation of dense trabecular bone and excessive calcified cartilage formation; may lead to anemia and extramedullary hematopoiesis\"\" [ISBN:0-683-40008-8, MESH:C05.116.099.708.702.678]\""
"MP:0005168"	"abnormal female meiosis"	2	0.956	0.800440319264781	0.22	"\"anomaly in the process of nuclear division that results in ova with one half the normal chromosome number of the original cell\"\" [ISBN:0-683-40008-8]\""
"MP:0001688"	"abnormal somite development"	2	0.954	0.920179727406951	0.252	"\"any anomaly in the formation of mesodermal clusters that are arranged segmentally along the anterior posterior axis of an embryo; somites are transient structures - balls or blocks of paraxial mesoderm cells with an epithelial outer layer and a mesenchymal cell core - that emerge sequentially through a mesenchymal-to-epithelial transition (MET) from the morphologically unpatterned presomitic mesoderm; they give rise to the metameric anatomy of the vertebral column itself, and the associated skin, muscle and tendons\"\" [GO:0001756, PMID:21164524]\""
"MP:0003795"	"abnormal bone structure"	2	0.993	0.934785978085265	0.272	"\"anomaly in the composite material or the layered arrangement of the bony endoskeleton of the body\"\" [MGI:csmith]\""
"MP:0001406"	"abnormal gait"	2	4.441	1.87884247584758	0.279	"\"abnormal pattern of movement of the limbs of animals, characterized by elements of progression, stability, speed and length over the ground\"\" [MGI:smb]\""
"MP:0011088"	"partial neonatal lethality"	2	4.126	1.8356180140469	0.295	"\"the appearance of lower than Mendelian ratios of organisms of a given genotype due to death of some, but not all of the organisms within the neonatal period after birth (Mus: P0)\"\" [MGI:csmith]\""
"MP:0011100"	"complete preweaning lethality"	2	3.531	1.55803288362809	0.358	"\"death of all organisms of a given genotype in a population between fertilization and weaning age (Mus: approximately 3-4 weeks of age)\"\" [MGI:csmith]\""
"MP:0011967"	"increased or absent threshold for auditory brainstem response"	2	3.582	1.59994869787623	0.378	"\"increase in the value at which one or more sound frequencies or broadband clicks first elicits a recordable response generated by electrical activity of neurons in the ascending auditory system, or complete lack of a recordable response at any frequency or broadband click\"\" [MGI:csmith]\""
"MP:0000745"	"tremors"	2	3.66	1.69625389528728	0.383	"\"repetitive, cyclical movements of the body or a body part; usually involuntary, but can also manifest in response to an attempt at movement\"\" [ISBN:0-683-40008-8, MESH:C10.597.350.850]\""
"MP:0001463"	"abnormal spatial learning"	2	3.537	1.65812556230835	0.392	""
"MP:0011096"	"complete embryonic lethality between implantation and somite formation"	2	3.958	1.79929805020554	0.394	"\"death of all organisms of a given genotype in a population between the point of implantation and somite formation (Mus: E4.5 to less than E8)\"\" [MGI:csmith]\""
"MP:0002727"	"decreased circulating insulin level"	2	3.766	1.76645531060493	0.396	"\"less than normal levels of insulin in the blood\"\" [ISBN:0-683-40008-8, MGI:dlb]\""
"MP:0001147"	"small testis"	2	3.842	1.73032656745194	0.405	"\"reduced size of the male reproductive glands\"\" [ISBN:0-683-40008-8]\""
"MP:0001891"	"hydroencephaly"	2	3.057	1.29747232511312	0.487	""
"MP:0003205"	"testicular atrophy"	2	1.149	0.835162556929186	0.502	"\"acquired diminution of the size of the testis associated with wasting as from death and reabsorbtion of cells, diminished cellular proliferation, decreased cellular volume, pressure, ischemia, malnutrition, reduced function or malfunction, or hormonal changes\"\" [MGI:csmith, RGD:cur]\""
"MP:0006144"	"increased systemic arterial systolic blood pressure"	2	1.14	0.848008914528096	0.512	"\"abnormal increase in the pressure in the arteries as the heart contracts and pumps blood into the arteries\"\" [MGI:smb, NCBI:matt]\""
"MP:0004953"	"decreased spleen weight"	2	1.041	0.820970762568919	0.52	"\"reduction in the average weight of the organ that functions to filter blood and to store red corpuscles and platelets\"\" [MGI:csmith]\""
"MP:0000702"	"enlarged lymph nodes"	2	1.239	0.888069629965842	0.525	"\"lymph nodes of increased size\"\" [MGI:cwg]\""
"MP:0009763"	"increased sensitivity to induced morbidity/mortality"	2	3.243	1.58885980359359	0.525	"\"decrease in the amount of an external agent required to cause death or diseased state\"\" [MGI:smb]\""
"MP:0001730"	"embryonic growth arrest"	2	3.466	1.65092991055634	0.552	"\"the cessation of development beyond a particular stage\"\" [J:17509]\""
"MP:0001577"	"anemia"	2	3.478	1.62238964128478	0.554	"\"less than normal levels of red blood cells and/or hemoglobin within red blood cells, or volume of packed red blood cells in the bloodstream, resulting in insufficient oxygenation of tissues and organs\"\" [ISBN:0-683-40008-8, PMID:9949198]\""
"MP:0011108"	"partial embryonic lethality during organogenesis"	2	3.352	1.6717927176809	0.561	"\"the appearance of lower than Mendelian ratios of organisms of a given genotype due to death of some, but not all of the organisms between embryo turning and the completion of organogenesis (Mus: E9 to less than E14)\"\" [MGI:csmith]\""
"MP:0000063"	"decreased bone mineral density"	2	3.204	1.6281999370578	0.567	"\"reduction in the amount of mineral per square centimeter of bone (usually g/cm2), used as a measure of structural strength and screen for osteoporosis; bone mineral density is the ratio of bone mineral content to bone size\"\" [ISBN:0-683-40008-8, MGI:csmith]\""
"MP:0005169"	"abnormal male meiosis"	2	1.207	0.917056155310018	0.57	"\"anomaly in the process of nuclear division that results in sperm with one half the normal chromosome number of the original cell\"\" [ISBN:0-683-40008-8]\""
"MP:0000706"	"small thymus"	2	1.291	0.931228321189914	0.58	"\"reduced size of the thymus\"\" [MGI:cwg]\""
"MP:0005048"	"thrombosis"	2	1.317	1.00474898383652	0.587	"\"formation within a tissue or the vascular lumen of a thrombus, an aggregation of coagulated blood containing platelets, fibrin, and entrapped cellular elements\"\" [ISBN:0-397-51047-0, MGI:cwg]\""
"MP:0001126"	"abnormal ovary morphology"	2	1.155	0.967424886443858	0.588	"\"any structural anomaly of the female reproductive gland containing the germ cells\"\" [ISBN:0-683-40008-8]\""
"MP:0003009"	"abnormal cytokine secretion"	2	1.256	1.04093589982647	0.595	"\"anomaly in the production or cellular release of any of the non-antibody proteins made by inflammatory leukocytes and some non-leukocytic cells that affect the behavior of other cells\"\" [ISBN:0-8153-1691-7, MGI:smb]\""
"MP:0000694"	"spleen hypoplasia"	2	1.189	1.0565961363716	0.601	""
"MP:0002463"	"abnormal neutrophil physiology"	2	1.123	1.01039194963731	0.604	"\"abnormal function of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes\"\" [ISBN:0721601464]\""
"MP:0004021"	"abnormal rod electrophysiology"	2	1.08	0.958393717904348	0.605	"\"any functional anomaly of dark adapted vision mediated by the rods\"\" [MGI:smb]\""
